ano_ref,mes_ref,mes,dia,data,turno,hora,volume
2026,1,janeiro,19,2026-01-19,Madrugada,00:00,109
2026,1,janeiro,19,2026-01-19,Madrugada,01:00,149
2026,1,janeiro,19,2026-01-19,Madrugada,02:00,924
2026,1,janeiro,19,2026-01-19,Madrugada,03:00,831
2026,1,janeiro,19,2026-01-19,Madrugada,04:00,724
2026,1,janeiro,19,2026-01-19,Madrugada,05:00,149
2026,1,janeiro,19,2026-01-19,Manhã,06:00,285
2026,1,janeiro,19,2026-01-19,Manhã,09:00,139
2026,1,janeiro,19,2026-01-19,Manhã,10:00,280
2026,1,janeiro,19,2026-01-19,Manhã,11:00,429
2026,1,janeiro,19,2026-01-19,Tarde,12:00,149
2026,1,janeiro,19,2026-01-19,Tarde,13:00,320
2026,1,janeiro,19,2026-01-19,Tarde,14:00,2051
2026,1,janeiro,19,2026-01-19,Tarde,15:00,109
2026,1,janeiro,19,2026-01-19,Tarde,16:00,325
2026,1,janeiro,19,2026-01-19,Tarde,17:00,290
2026,1,janeiro,19,2026-01-19,Noite,18:00,578
2026,1,janeiro,19,2026-01-19,Noite,19:00,250
2026,1,janeiro,19,2026-01-19,Noite,20:00,280
2026,1,janeiro,19,2026-01-19,Noite,22:00,149
2026,1,janeiro,20,2026-01-20,Madrugada,00:00,109
2026,1,janeiro,20,2026-01-20,Madrugada,01:00,149
2026,1,janeiro,20,2026-01-20,Madrugada,02:00,1454
2026,1,janeiro,20,2026-01-20,Madrugada,03:00,562
2026,1,janeiro,20,2026-01-20,Madrugada,04:00,575
2026,1,janeiro,20,2026-01-20,Madrugada,05:00,149
2026,1,janeiro,20,2026-01-20,Manhã,06:00,285
2026,1,janeiro,20,2026-01-20,Manhã,09:00,139
2026,1,janeiro,20,2026-01-20,Manhã,10:00,280
2026,1,janeiro,20,2026-01-20,Manhã,11:00,573
2026,1,janeiro,20,2026-01-20,Tarde,12:00,298
2026,1,janeiro,20,2026-01-20,Tarde,13:00,171
2026,1,janeiro,20,2026-01-20,Tarde,14:00,1910
2026,1,janeiro,20,2026-01-20,Tarde,15:00,109
2026,1,janeiro,20,2026-01-20,Tarde,16:00,325
2026,1,janeiro,20,2026-01-20,Tarde,17:00,290
2026,1,janeiro,20,2026-01-20,Noite,18:00,578
2026,1,janeiro,20,2026-01-20,Noite,19:00,250
2026,1,janeiro,20,2026-01-20,Noite,20:00,280
2026,1,janeiro,21,2026-01-21,Madrugada,00:00,109
2026,1,janeiro,21,2026-01-21,Madrugada,01:00,149
2026,1,janeiro,21,2026-01-21,Madrugada,02:00,1305
2026,1,janeiro,21,2026-01-21,Madrugada,03:00,711
2026,1,janeiro,21,2026-01-21,Madrugada,04:00,684
2026,1,janeiro,21,2026-01-21,Madrugada,05:00,290
2026,1,janeiro,21,2026-01-21,Manhã,09:00,139
2026,1,janeiro,21,2026-01-21,Manhã,10:00,421
2026,1,janeiro,21,2026-01-21,Manhã,11:00,464
2026,1,janeiro,21,2026-01-21,Tarde,12:00,149
2026,1,janeiro,21,2026-01-21,Tarde,13:00,320
2026,1,janeiro,21,2026-01-21,Tarde,14:00,1875
2026,1,janeiro,21,2026-01-21,Tarde,15:00,109
2026,1,janeiro,21,2026-01-21,Tarde,16:00,290
2026,1,janeiro,21,2026-01-21,Tarde,17:00,290
2026,1,janeiro,21,2026-01-21,Noite,18:00,578
2026,1,janeiro,21,2026-01-21,Noite,19:00,141
2026,1,janeiro,21,2026-01-21,Noite,20:00,419
2026,1,janeiro,21,2026-01-21,Noite,22:00,149
2026,1,janeiro,22,2026-01-22,Madrugada,02:00,1390
2026,1,janeiro,22,2026-01-22,Madrugada,03:00,597
2026,1,janeiro,22,2026-01-22,Madrugada,04:00,575
2026,1,janeiro,22,2026-01-22,Madrugada,05:00,258
2026,1,janeiro,22,2026-01-22,Manhã,06:00,141
2026,1,janeiro,22,2026-01-22,Manhã,09:00,139
2026,1,janeiro,22,2026-01-22,Manhã,10:00,421
2026,1,janeiro,22,2026-01-22,Manhã,11:00,464
2026,1,janeiro,22,2026-01-22,Tarde,12:00,149
2026,1,janeiro,22,2026-01-22,Tarde,13:00,320
2026,1,janeiro,22,2026-01-22,Tarde,14:00,2016
2026,1,janeiro,22,2026-01-22,Tarde,15:00,109
2026,1,janeiro,22,2026-01-22,Tarde,16:00,325
2026,1,janeiro,22,2026-01-22,Tarde,17:00,325
2026,1,janeiro,22,2026-01-22,Noite,18:00,578
2026,1,janeiro,22,2026-01-22,Noite,19:00,250
2026,1,janeiro,22,2026-01-22,Noite,20:00,315
2026,1,janeiro,22,2026-01-22,Noite,22:00,149
2026,1,janeiro,23,2026-01-23,Madrugada,00:00,109
2026,1,janeiro,23,2026-01-23,Madrugada,01:00,149
2026,1,janeiro,23,2026-01-23,Madrugada,02:00,1129
2026,1,janeiro,23,2026-01-23,Madrugada,03:00,682
2026,1,janeiro,23,2026-01-23,Madrugada,04:00,724
2026,1,janeiro,23,2026-01-23,Madrugada,05:00,325
2026,1,janeiro,23,2026-01-23,Manhã,06:00,109
2026,1,janeiro,23,2026-01-23,Manhã,09:00,139
2026,1,janeiro,23,2026-01-23,Manhã,10:00,280
2026,1,janeiro,23,2026-01-23,Manhã,11:00,603
2026,1,janeiro,23,2026-01-23,Tarde,12:00,298
2026,1,janeiro,23,2026-01-23,Tarde,13:00,171
2026,1,janeiro,23,2026-01-23,Tarde,14:00,2051
2026,1,janeiro,23,2026-01-23,Tarde,15:00,109
2026,1,janeiro,23,2026-01-23,Tarde,16:00,325
2026,1,janeiro,23,2026-01-23,Tarde,17:00,290
2026,1,janeiro,23,2026-01-23,Noite,18:00,578
2026,1,janeiro,23,2026-01-23,Noite,19:00,250
2026,1,janeiro,23,2026-01-23,Noite,20:00,315
2026,1,janeiro,23,2026-01-23,Noite,22:00,149
2026,1,janeiro,24,2026-01-24,Madrugada,00:00,109
2026,1,janeiro,24,2026-01-24,Madrugada,01:00,149
2026,1,janeiro,24,2026-01-24,Madrugada,02:00,924
2026,1,janeiro,24,2026-01-24,Madrugada,03:00,392
2026,1,janeiro,24,2026-01-24,Madrugada,04:00,830
2026,1,janeiro,24,2026-01-24,Madrugada,05:00,149
2026,1,janeiro,24,2026-01-24,Manhã,06:00,250
2026,1,janeiro,24,2026-01-24,Manhã,09:00,139
2026,1,janeiro,24,2026-01-24,Manhã,10:00,248
2026,1,janeiro,24,2026-01-24,Manhã,11:00,464
2026,1,janeiro,24,2026-01-24,Tarde,12:00,298
2026,1,janeiro,24,2026-01-24,Tarde,13:00,171
2026,1,janeiro,24,2026-01-24,Tarde,14:00,1973
2026,1,janeiro,24,2026-01-24,Tarde,15:00,397
2026,1,janeiro,24,2026-01-24,Tarde,16:00,325
2026,1,janeiro,24,2026-01-24,Tarde,17:00,709
2026,1,janeiro,24,2026-01-24,Noite,18:00,149
2026,1,janeiro,24,2026-01-24,Noite,19:00,290
2026,1,janeiro,24,2026-01-24,Noite,20:00,315
2026,1,janeiro,25,2026-01-25,Madrugada,01:00,149
2026,1,janeiro,25,2026-01-25,Madrugada,02:00,708
2026,1,janeiro,25,2026-01-25,Madrugada,03:00,280
2026,1,janeiro,25,2026-01-25,Madrugada,04:00,913
2026,1,janeiro,25,2026-01-25,Madrugada,05:00,149
2026,1,janeiro,25,2026-01-25,Manhã,06:00,285
2026,1,janeiro,25,2026-01-25,Manhã,08:00,112
2026,1,janeiro,25,2026-01-25,Manhã,09:00,288
2026,1,janeiro,25,2026-01-25,Manhã,10:00,250
2026,1,janeiro,25,2026-01-25,Manhã,11:00,176
2026,1,janeiro,25,2026-01-25,Tarde,12:00,576
2026,1,janeiro,25,2026-01-25,Tarde,13:00,171
2026,1,janeiro,25,2026-01-25,Tarde,14:00,1917
2026,1,janeiro,25,2026-01-25,Tarde,15:00,538
2026,1,janeiro,25,2026-01-25,Tarde,16:00,176
2026,1,janeiro,25,2026-01-25,Tarde,17:00,858
2026,1,janeiro,25,2026-01-25,Noite,18:00,149
2026,1,janeiro,25,2026-01-25,Noite,19:00,141
2026,1,janeiro,25,2026-01-25,Noite,20:00,315
2026,1,janeiro,26,2026-01-26,Madrugada,00:00,109
2026,1,janeiro,26,2026-01-26,Madrugada,01:00,149
2026,1,janeiro,26,2026-01-26,Madrugada,02:00,959
2026,1,janeiro,26,2026-01-26,Madrugada,03:00,682
2026,1,janeiro,26,2026-01-26,Madrugada,04:00,724
2026,1,janeiro,26,2026-01-26,Madrugada,05:00,149
2026,1,janeiro,26,2026-01-26,Manhã,06:00,285
2026,1,janeiro,26,2026-01-26,Manhã,09:00,139
